"Dokument";"Uppladdad";"Kategori";"Fas";"Version";"Ändrad";"Beskrivning";"Skapad"
"PH-Preliminära installationsuppgifter STORKÖK.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"2024-12-20"
"SK-46-1-01 - PLAN, DEL 1.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"2024-12-20"
"SK-46-1-02 - PLAN, DEL 2.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"2024-12-20"
"11.9 Rambeskrivning Kökskyla Jenningskolan.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"2024-12-20"
