"Dokument";"Uppladdad";"Kategori";"Fas";"Version";"Ändrad";"Beskrivning";"Skapad"
"11.7 BESKRIVNING - STORKÖK.pdf";"2025-01-09";"";"Förfrågningsunderlag (FU)";"1";"";"";"2024-12-20"
"11.7.1 Bilaga 1 - Preliminära installationsuppgifter STORKÖK.pdf";"2025-01-09";"";"Förfrågningsunderlag (FU)";"1";"";"";"2024-12-20"
