"Dokument";"Uppladdad";"Kategori";"Fas";"Version";"Ändrad";"Beskrivning";"Skapad"
"11.5 Beskrivning Luftbehandling.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"2024-12-20"
"Bilaga 1- LA01.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"2024-12-20"
"Bilaga 2 Fotobilaga Rivningsfoton.zip";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"2024-12-20"
"Bilaga 3 5.1 Ventilationsaggregat, luftflödesprotokoll.xls";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"2024-12-20"
